First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Jeff,Trainor,SSDM,43.0,Cannons,10,6,6,6,6,0,0,15,0.4,10,0.6666666666666666,2,0.0,0,0.0,3,4,14,88,70,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,3.5,0,0,0,0,1,4,2
Tre,Leclaire,M,44.0,Archers,5,6,5,5,5,0,1,23,0.217391304347826,16,0.6956521739130435,6,0.0,5,0.8333333333333334,8,0,5,101,70,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,4,1
Hugh,Kelleher,M,27.0,Atlas,6,6,5,5,5,0,1,20,0.25,8,0.4,3,0.0,1,0.3333333333333333,4,0,6,75,51,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,0
Ben,Wayer,LSM,4.0,Waterdogs,10,6,4,3,2,1,2,14,0.2142857142857142,7,0.5,7,0.1428571428571428,4,0.5714285714285714,6,7,27,76,56,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,3.0,0,0,0,0,0,1,2
Garrett,Degnon,M,40.0,Chaos,4,6,4,4,4,0,2,18,0.2222222222222222,9,0.5,3,0.0,1,0.3333333333333333,2,0,5,74,54,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,3,0,0,0,2,2
Ben,Ramsey,SSDM,24.0,Cannons,10,6,3,2,1,1,3,5,0.4,5,1.0,1,1.0,1,1.0,2,3,26,94,87,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,1.5,0,0,0,0,0,1,1
Beau,Pederson,SSDM,89.0,Archers,10,6,5,4,3,1,1,10,0.4,6,0.6,5,0.2,2,0.4,6,4,15,79,63,0.2222222222222222,4,13,18,0.0,0,0.0,0,0.0,0,0,3,1.5,0,0,0,0,0,2,2
Michael,Manley,D,37.0,Outlaws,10,5,4,3,2,1,1,6,0.5,3,0.5,3,0.3333333333333333,1,0.3333333333333333,5,7,19,68,57,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,4,4.0,0,0,0,0,0,1,2
Trevor,Baptiste,FO,9.0,Atlas,10,5,4,4,4,0,1,14,0.2857142857142857,10,0.7142857142857143,0,0.0,0,0.0,7,5,87,112,91,0.5886792452830188,156,106,265,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,3,1
Myles,Jones,M,8.0,Atlas,3,5,1,1,1,0,4,5,0.2,3,0.6,0,0.0,0,0.0,5,0,2,59,49,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,1,0
Sam,Handley,M,26.0,Redwoods,4,5,4,3,2,1,1,18,0.1666666666666666,12,0.6666666666666666,7,0.1428571428571428,5,0.7142857142857143,4,0,3,80,58,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,3,0,1,1,1,2
Owen,Grant,LSM,81.0,Cannons,10,5,3,2,1,1,2,10,0.2,7,0.7,6,0.1666666666666666,4,0.6666666666666666,2,11,16,49,37,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,2.0,0,0,0,0,1,1,1
Cross,Ferrara,M,22.0,Chaos,6,5,5,5,5,0,0,22,0.2272727272727272,12,0.5454545454545454,1,0.0,0,0.0,5,0,0,69,42,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,5,0
Zach,Geddes,SSDM,13.0,Outlaws,10,5,4,3,2,1,1,9,0.3333333333333333,7,0.7777777777777778,1,1.0,1,1.0,4,7,17,86,73,0.0,0,2,2,0.0,0,0.0,0,0.0,0,0,3,1.5,0,0,0,0,0,1,2
Zac,Tucci,FO,4.0,Cannons,10,5,5,4,3,1,0,13,0.3076923076923077,7,0.5384615384615384,3,0.3333333333333333,1,0.3333333333333333,5,1,46,44,26,0.4392156862745098,112,141,255,0.0,0,0.0,0,0.0,0,0,5,4.5,0,0,0,0,0,4,0
Mic,Kelly,M,21.0,Cannons,5,5,3,3,3,0,2,24,0.125,14,0.5833333333333334,1,0.0,0,0.0,6,1,3,97,67,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0,0,3,0
Sam,English,M,10.0,Redwoods,4,4,3,3,3,0,1,12,0.25,8,0.6666666666666666,1,0.0,1,1.0,8,5,9,79,59,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,1
Matt,Rambo,A,9.0,Whipsnakes,6,4,0,0,0,0,4,16,0.0,8,0.5,0,0.0,0,0.0,4,0,2,74,54,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
Ray,Dearth,SSDM,9.0,Chaos,8,4,2,1,0,1,2,2,0.5,1,0.5,1,1.0,1,1.0,1,2,10,43,40,0.0,0,4,4,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,0
Jarrod,Neumann,D,88.0,Chaos,10,4,4,2,0,2,0,6,0.3333333333333333,4,0.6666666666666666,6,0.3333333333333333,4,0.6666666666666666,5,2,13,70,59,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.0,0,0,0,0,0,0,2
Jared,Conners,LSM,28.0,Redwoods,10,4,2,1,0,1,2,8,0.125,3,0.375,7,0.1428571428571428,3,0.4285714285714285,5,6,25,76,63,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Jules,Heningburg,M,16.0,Cannons,4,4,3,2,1,1,1,11,0.1818181818181818,4,0.3636363636363636,2,0.5,1,0.5,2,0,1,50,37,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1
Brian,Tevlin,SSDM,12.0,Redwoods,10,4,2,2,2,0,2,13,0.1538461538461538,4,0.3076923076923077,3,0.0,1,0.3333333333333333,3,12,25,127,111,0.1428571428571428,1,6,7,0.0,0,0.0,0,0.0,0,0,3,2.5,0,0,0,0,0,1,1
Jimmy,Freehill,D,5.0,Waterdogs,9,4,4,2,0,2,0,7,0.2857142857142857,6,0.8571428571428571,7,0.2857142857142857,6,0.8571428571428571,2,7,15,72,63,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,3.0,0,0,0,0,0,0,2
Alexander,Vardaro,M,19.0,Cannons,3,4,1,1,1,0,3,10,0.1,5,0.5,2,0.0,2,1.0,4,0,1,52,38,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Graydon,Hogg,A,45.0,Cannons,3,4,3,3,3,0,1,12,0.25,8,0.6666666666666666,0,0.0,0,0.0,4,0,3,52,36,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2
Luke,Wierman,FO,52.0,Outlaws,10,4,3,3,3,0,1,20,0.15,10,0.5,6,0.0,2,0.3333333333333333,10,5,78,82,52,0.5217391304347826,132,119,253,0.0,0,0.0,0,0.0,0,0,2,1.0,0,0,0,0,0,3,0
Mark,Glicini,SSDM,16.0,Chaos,10,3,3,2,1,1,0,7,0.2857142857142857,5,0.7142857142857143,2,0.5,2,1.0,2,5,13,69,60,0.0769230769230769,1,12,13,0.0,0,0.0,0,0.0,0,0,3,2.0,0,0,0,0,0,1,1
Justin,Inacio,FO,45.0,Chaos,7,3,2,2,2,0,1,11,0.1818181818181818,5,0.4545454545454545,1,0.0,1,1.0,8,0,72,62,43,0.6094674556213018,103,65,169,0.0,0,0.0,0,0.0,0,0,2,1.0,0,0,0,0,0,2,0
Brett,Makar,D,43.0,Atlas,9,3,3,2,1,1,0,8,0.25,3,0.375,4,0.25,2,0.5,2,8,21,76,66,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,1,0,0,0,2,0
Christian,Scarpello,SSDM,50.0,Waterdogs,5,3,3,3,3,0,0,3,1.0,3,1.0,0,0.0,0,0.0,3,0,6,26,20,0.0,0,1,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,2
Cam,Wyers,D,20.0,Archers,8,3,2,2,2,0,1,3,0.6666666666666666,3,1.0,1,0.0,1,1.0,6,4,7,27,18,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,1
Connor,Maher,SSDM,31.0,Archers,10,3,1,1,1,0,2,2,0.5,1,0.5,1,0.0,0,0.0,3,3,12,57,52,0.125,1,7,8,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Piper,Bond,SSDM,54.0,Archers,10,3,2,2,2,0,1,6,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0,8,6,15,101,87,0.1538461538461538,2,11,13,0.0,0,0.0,0,0.0,0,0,5,3.0,0,0,0,0,0,0,2
Jake,Bernhardt,SSDM,83.0,Whipsnakes,10,2,2,1,0,1,0,5,0.2,2,0.4,3,0.3333333333333333,1,0.3333333333333333,3,1,8,53,45,0.1428571428571428,2,12,14,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,0
Danny,Logan,SSDM,91.0,Atlas,9,2,1,1,1,0,1,3,0.3333333333333333,1,0.3333333333333333,1,0.0,0,0.0,3,2,12,61,55,0.1666666666666666,2,10,12,0.0,0,0.0,0,0.0,0,0,5,3.0,0,0,0,0,0,0,1
Mikie,Schlosser,M,59.0,Waterdogs,3,2,2,2,2,0,0,6,0.3333333333333333,5,0.8333333333333334,1,0.0,0,0.0,2,0,1,30,22,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1
Joseph,Nardella,FO,91.0,Whipsnakes,10,2,2,2,2,0,0,5,0.4,3,0.6,0,0.0,0,0.0,5,4,58,83,73,0.5975103734439834,144,95,241,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,2,0
Michael,Rexrode,D,22.0,Atlas,10,2,2,1,0,1,0,1,1.0,1,1.0,1,1.0,1,1.0,2,12,14,55,52,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,2.0,0,0,0,0,0,1,0
Kyle,Jackson,M,47.0,Atlas,3,2,1,1,1,0,1,10,0.1,7,0.7,0,0.0,0,0.0,2,0,0,53,41,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,3,0,0,0,0,1
Mike,Sisselberger,FO,99.0,Archers,5,2,1,1,1,0,1,5,0.2,3,0.6,1,0.0,1,1.0,3,0,22,19,11,0.3564356435643564,36,64,101,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0
Max,Krevsky,SSDM,48.0,Atlas,8,2,0,0,0,0,2,5,0.0,3,0.6,0,0.0,0,0.0,7,2,6,63,51,0.0,0,2,2,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,0,0
Jonathan,Donville,M,3.0,Outlaws,5,2,2,2,2,0,0,7,0.2857142857142857,5,0.7142857142857143,0,0.0,0,0.0,3,1,4,60,50,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,0,2
Jack,McDonald,LSM,11.0,Whipsnakes,4,2,2,2,2,0,0,2,1.0,2,1.0,0,0.0,0,0.0,1,0,5,15,12,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0
Dylan,Hess,SSDM,8.0,Waterdogs,10,2,1,1,1,0,1,6,0.1666666666666666,3,0.5,2,0.0,0,0.0,0,4,11,73,67,0.0,0,6,6,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Greg,Langermeier,SSDM,38.0,Chaos,9,2,0,0,0,0,2,5,0.0,0,0.0,0,0.0,0,0.0,4,4,8,56,47,0.3333333333333333,1,2,3,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,0,0
Bryce,Ford,M,23.0,Archers,3,2,2,2,2,0,0,4,0.5,3,0.75,0,0.0,0,0.0,1,0,2,22,17,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,2,0
Alec,Stathakis,FO,73.0,Waterdogs,10,2,2,2,2,0,0,12,0.1666666666666666,4,0.3333333333333333,4,0.0,1,0.25,7,2,58,74,55,0.5282258064516129,131,114,248,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,2
Jack,VanOverbeke,M,9.0,Outlaws,6,2,0,0,0,0,2,14,0.0,8,0.5714285714285714,0,0.0,0,0.0,5,0,2,60,41,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
Roman,Puglise,SSDM,8.0,Whipsnakes,8,2,1,1,1,0,1,6,0.1666666666666666,4,0.6666666666666666,1,0.0,1,1.0,3,1,11,82,73,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,6,3.5,0,0,0,0,0,1,0
Jack,Gray,SSDM,20.0,Outlaws,4,2,1,1,1,0,1,1,1.0,1,1.0,0,0.0,0,0.0,0,1,1,10,9,1.0,1,0,1,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,0
Tyler,Carpenter,LSM,5.0,Atlas,10,2,1,1,1,0,1,5,0.2,3,0.6,4,0.0,2,0.5,4,7,28,85,76,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Chris,Merle,SSDM,23.0,Redwoods,3,1,1,1,1,0,0,1,1.0,1,1.0,0,0.0,0,0.0,0,1,4,13,12,0.0,0,1,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Marcus,Hudgins,LSM,11.0,Waterdogs,7,1,0,0,0,0,1,1,0.0,1,1.0,1,0.0,1,1.0,4,9,16,38,33,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0
Colin,Squires,LSM,39.0,Whipsnakes,10,1,0,0,0,0,1,1,0.0,0,0.0,1,0.0,0,0.0,5,3,35,55,49,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,1.0,0,0,0,0,0,0,0
Kenny,Brower,D,29.0,Waterdogs,8,1,0,0,0,0,1,1,0.0,1,1.0,1,0.0,1,1.0,0,9,13,47,46,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,3,2.0,0,0,0,0,0,0,0
Matt,Whitcher,SSDM,33.0,Waterdogs,9,1,1,1,1,0,0,6,0.1666666666666666,4,0.6666666666666666,2,0.0,1,0.5,2,5,11,62,54,0.0,0,1,1,0.0,0,0.0,0,0.0,0,0,3,2.0,0,0,0,0,0,0,1
Matthew,Dunn,D,33.0,Whipsnakes,10,1,1,1,1,0,0,5,0.2,4,0.8,3,0.0,3,1.0,6,5,11,83,72,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,2,1,0
CJ,Costabile,LSM,6.0,Player Pool,1,1,1,1,1,0,0,1,1.0,1,1.0,0,0.0,0,0.0,0,0,2,4,3,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Ben,Randall,D,44.0,Waterdogs,10,1,1,1,1,0,0,5,0.2,4,0.8,2,0.0,1,0.5,6,13,21,93,82,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1
Graeme,Hossack,D,81.0,Archers,10,1,1,1,1,0,0,8,0.125,4,0.5,4,0.0,2,0.5,2,14,24,80,70,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,2.0,0,0,0,0,0,1,0
Troy,Reh,LSM,10.0,Chaos,10,1,1,1,1,0,0,4,0.25,1,0.25,2,0.0,0,0.0,5,11,37,111,102,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,2,1.5,0,0,0,0,0,1,0
Patrick,Resch,SSDM,34.0,Archers,3,1,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,3,0,4,25,22,0.0,0,1,1,0.0,0,0.0,0,0.0,0,0,2,1.5,0,0,0,0,0,0,0
Scott,Smith,D,18.0,Chaos,6,1,1,1,1,0,0,10,0.1,6,0.6,5,0.0,2,0.4,0,6,8,33,23,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,1,0.5,0,0,0,0,0,1,0
